post_did,post_uri,author,handle,author_did,text,created_at
did:plc:2ocpvkq5gioh4kf7p57wjxyo,at://did:plc:2ocpvkq5gioh4kf7p57wjxyo/app.bsky.feed.post/3lsj47zsok223,British History Online,bho.bsky.social,did:plc:2ocpvkq5gioh4kf7p57wjxyo,"""A 17th-century British portrait featuring an identified Black subject is shedding new light on the lives of enslaved attendants in aristocratic households thanks to the rediscovery of a letter written by the sitter himself.""

news.artnet.com/art-world/bl...

#History #BlackHistory  🗃️",2025-06-26T12:17:36.064Z
did:plc:4abopdvt5qcriqfvdoamja2x,at://did:plc:4abopdvt5qcriqfvdoamja2x/app.bsky.feed.post/3lsglrw6mnc2w,Oscar Lozada,oz-of-the-ancients.bsky.social,did:plc:4abopdvt5qcriqfvdoamja2x,"#HillfortsWednesday Oldbury Castle hillfort in Wiltshire by antiquarian William Stukeley, 1723

I always love the little figures that Stukeley includes in these. What are those people doing? Why are they there? It adds such whimsical charm!

#archaeology #arthistory #ancientbluesky #art #history",2025-06-25T12:18:03.140Z
did:plc:sibsq6a75gmxxkawhfrentoi,at://did:plc:sibsq6a75gmxxkawhfrentoi/app.bsky.feed.post/3lsjrfb7afk2o,Emory,emory-f8.bsky.social,did:plc:sibsq6a75gmxxkawhfrentoi,"Did you know?

In the Victorian era, one of the most famous stage actresses, Sarah Bernhardt, played both male and female roles on stage—and dated both men and women off stage.

Her lovers included numerous prominent male royals, as well as female artists and creatives.

#Victorian #history",2025-06-26T18:36:20.147Z
did:plc:rngyals5xd243k44qab4bndc,at://did:plc:rngyals5xd243k44qab4bndc/app.bsky.feed.post/3lscdpsryyc2j,Western Neighborhoods Project ,wnpsf.bsky.social,did:plc:rngyals5xd243k44qab4bndc,"It's officially summer! And summertime means beachtime so here's a look at Ocean Beach from the Cliff House circa 1900. 

[📸 by W.C. Billington courtesy of a Private Collector and WNP / OpenSFHistory, wnp27.4999] #SFHistory #SanFrancisco #History #Photography",2025-06-23T19:43:03.592Z
did:plc:wfsaigxrmhkw6sxie2y3uj52,at://did:plc:wfsaigxrmhkw6sxie2y3uj52/app.bsky.feed.post/3lsk3cn26gk2p,Tractus Fynn,tractusfynn.bsky.social,did:plc:wfsaigxrmhkw6sxie2y3uj52,"This Day in #History 1284 
According to the Lüneburg manuscript, a piper leads 130 children of Hamelin away...",2025-06-26T21:33:49.335Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lskrc2qqvs2g,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,The 88 mm Pak 43 was a powerful anti-tank gun but also very heavy and difficult to move. Instructions were issued #OTD in 1943 indicating that the weapon should be used in areas where the front is stable but has limited usefulness in mobile warfare. #artillery #history #WW2 #WWII,2025-06-27T04:07:12.471Z
did:plc:fitaiaaxjbgryrywqebywz2h,at://did:plc:fitaiaaxjbgryrywqebywz2h/app.bsky.feed.post/3lslewhpf6c26,BERGΛMΛX,bergamax.bsky.social,did:plc:fitaiaaxjbgryrywqebywz2h,"Fort Alexander, ""the plague fort"", in St Petersburg, Russia. 🇷🇺

A naval fortress on an artificial island in the Gulf of Finland, from 1899-1917 it housed a research laboratory on plague & other diseases.

By 1983, the fort was stripped of its fixtures & abandoned.

#castles #history #places",2025-06-27T09:58:38.234Z
did:plc:n6wm64rk4t3xhhwxga7cb2cp,at://did:plc:n6wm64rk4t3xhhwxga7cb2cp/app.bsky.feed.post/3lsiht3rck22q,Steve Teratsia 📷,steveteratsia.bsky.social,did:plc:n6wm64rk4t3xhhwxga7cb2cp,"#ruins #bedfordshire #uk #church #abandoned #ridgmont #segenhoe #medieval #architecture #history #photography 

Happy #AdoorableThursday from the eerie ruins of All Saints church at Ridgmont, Bedfordshire...",2025-06-26T06:12:26.886Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsddugccgk2m,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"So proud of this tradition. Children laying flowers at Oosterbeek War Cemetery, thus paying tribute to the men that died in September 1944, during operation Market Garden. For our freedom. #WW2 #HISTORY",2025-06-24T05:18:18.011Z
did:plc:vok3j6g7yrv63grj4to7byio,at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsj4qabwhk23,Baseball by BSmile,bsmile.bsky.social,did:plc:vok3j6g7yrv63grj4to7byio,Today In 1970: Baltimore #Orioles slugger Frank Robinson hits two grand slams in one game vs. the Washington Senators! #MLB #Baseball #History,2025-06-26T12:26:39.671Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidu7ed322o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944. Not staged. Units from 15 ""Scottish"" Infantry Division during operation Epsom. #WW2 #HISTORY",2025-06-26T05:01:29.424Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsiavyq2p22r,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,"The job of an anti-tank gunner was exceptionally dangerous. In recognition of this, the Red Army established a dedicated anti-tank artillery branch #OTD in 1942. AT troops had a distinctive sleeve patch and received higher pay. #artillery #history #WW2 #WWII",2025-06-26T04:08:48.350Z
did:plc:vok3j6g7yrv63grj4to7byio,at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lshlrqugxs2m,Baseball by BSmile,bsmile.bsky.social,did:plc:vok3j6g7yrv63grj4to7byio,"New York #Yankees pitcher Phil Niekro has David Letterman catch his knuckleball on a classic episode of ""Late Night with David Letterman""!  (June 25, 1984) ⚾️ #MLB #Baseball #Legend #History",2025-06-25T21:50:37.314Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lshkanoejs2r,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,"The Korean War began #OTD in 1950. Even though tank development made a step forward since WW2, the majority of the tanks used were WW2 vintage: North Korea used SU-76Ms and T-34-85s, and the Americans used Chaffee, Sherman and Pershing tanks. #tanks #history #ColdWar",2025-06-25T21:23:09.799Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskuhw2wvk2g,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944, Norrey-en-Bessin, France. A 17-pounder anti-tank gun crew after destroying a Panther. #WW2 #HISTORY",2025-06-27T05:04:10.116Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskue43jps2g,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,#OTD in 1944. A casualty is being brought back. #WW2 #HISTORY,2025-06-27T05:02:02.210Z
did:plc:n536vu2xyg3wlrajqluh6kgx,at://did:plc:n536vu2xyg3wlrajqluh6kgx/app.bsky.feed.post/3lsiqb4s5oc2a,Stephen Spitewinter,spitewinter.bsky.social,did:plc:n536vu2xyg3wlrajqluh6kgx,"#plants #history #botany #fruit #art 🍓

Fragaria x. ananassa (many var.)- modern horticultural Strawberry.
 
(F. virginiana crossed with F. chiloensis, Europe, 1730 - 1750.) Illustration is var. 'Keen's Seedling' c1830.

The history of cultivated strawberries
herbaria.plants.ox.ac.uk/bol/plants40...",2025-06-26T08:43:27.773Z
did:plc:n6wm64rk4t3xhhwxga7cb2cp,at://did:plc:n6wm64rk4t3xhhwxga7cb2cp/app.bsky.feed.post/3lsgl7yjd2c2q,Steve Teratsia 📷,steveteratsia.bsky.social,did:plc:n6wm64rk4t3xhhwxga7cb2cp,"#worcestershire #uk #witleycourt #history #ruins #architecture #ironwork #landscape #photography 

Gorgeous cast and wrought iron stairs at Witley Court ruins, Worcestershire...",2025-06-25T12:08:01.438Z
did:plc:cdn7duxmseiwnphgqbycslbc,at://did:plc:cdn7duxmseiwnphgqbycslbc/app.bsky.feed.post/3lsbq2ipx2k2g,Astrid Aillume,aillume.bsky.social,did:plc:cdn7duxmseiwnphgqbycslbc,"What's she smiling about? It's been 500 years and we still haven’t figured it out.

#vss365 #MonaLisa #Smile #DaVinci #secret #mysterious #Vibe #ArtHistory #Renaissance #Louvre #Masterpiece #ClassicArt #Debate #Timeless #History #story #Art #artist #Aillume",2025-06-23T13:51:07.306Z
did:plc:fzftkz72itvlldzauh2gdxpz,at://did:plc:fzftkz72itvlldzauh2gdxpz/app.bsky.feed.post/3lsldxof4gc2e,The Partial Historians 🏺,partialhistorians.bsky.social,did:plc:fzftkz72itvlldzauh2gdxpz,"💃A dancing Maenad is our pick this #FrescoFriday. This stunning figure comes from a fresco from the Casa del Naviglio in Pompeii and is now held in the MAN Napoli. For more poetic details, see the alt text 😉

#AncientRome #History #AncientBluesky🏺",2025-06-27T09:41:25.051Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidwjen7c2o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944, operation Epsom started. Ended on 30 June, due to high casualty rates and the arrival of 9 and 10 SS Panzer Division. #WW2 #HISTORY",2025-06-26T05:02:47.032Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskukhkbhs2g,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944, Norrey-en-Bessin, France. An overturned Panther. #WW2 #HISTORY",2025-06-27T05:05:35.551Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskudnciys2g,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,#OTD in 1944. The four-inch guns of HMS Belfast (now anchored at Tower Bridge) firing on German positions. #WW2 #HISTORY,2025-06-27T05:01:46.708Z
did:plc:y2v2hvehgzh4xi3cwje3ws43,at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsdsjeem7c2n,Hairy Neil,rovingrollo.bsky.social,did:plc:y2v2hvehgzh4xi3cwje3ws43,"One for #ThickTrunkTuesday

Hearts of Oak (well they are Oaks) and the Naval Temple, Near Monmouth, Monmouthshire, UK. June 2025

It is the only monument in the UK (built in 1800) dedicated to 'The Navy' rather than an individual or an event

#History #FortheLoveofTrees #Photography #EastCoastKin",2025-06-24T09:40:32.954Z
did:plc:y2v2hvehgzh4xi3cwje3ws43,at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lse6abc3uc2n,Hairy Neil,rovingrollo.bsky.social,did:plc:y2v2hvehgzh4xi3cwje3ws43,"No. 1 in an occasional series I'm calling #IndustrialDecline 

'End of the Line'

Tintern Tunnel, Wye Valley Railway, Gloucestershire, UK. June 2025

The Railway ran from Chepstow to Monmouth, closed in 1959 it is now a footpath. More in Alt Text

#History #Industry #Photography #EastCoastKin",2025-06-24T13:10:12.644Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsi5iofbt22r,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,"The Object 239 prototype was due #OTD in 1943. This tank was a halfway point between the KV-1S and the IS-1, with the hull from the former and turret from the latter. Only 149 tanks including the prototype were built before production shifted to the IS. #tanks #history #WW2 #WWII",2025-06-26T03:07:40.078Z
did:plc:gb26tvwup2qdyc3uxygqvgkk,at://did:plc:gb26tvwup2qdyc3uxygqvgkk/app.bsky.feed.post/3lsbxiqld6k2o,Paul Watt Photography,paulwattphoto.bsky.social,did:plc:gb26tvwup2qdyc3uxygqvgkk,"The Guildford Arms, Edinburgh #scotland #history #photography",2025-06-23T16:04:21.489Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidmb2wlk2o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944, Normandy. Men from 7 Seaforth Highlanders, going into battle. #WW2 #HISTORY",2025-06-26T04:57:02.781Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsk2stnwpk2r,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,#OTD in 1945 the 9th Guards Mechanized Corps was allocated to the Transbaikal Front. Its Sherman tanks would make a 9000 km journey from Czechoslovakia to Mongolia in order to take part in the offensive against Japan in August of 1945. #tanks #history #WW2 #WWII,2025-06-26T21:24:59.405Z
did:plc:vok3j6g7yrv63grj4to7byio,at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsln26bqjc2u,Baseball by BSmile,bsmile.bsky.social,did:plc:vok3j6g7yrv63grj4to7byio,Happy 82nd Birthday Rico Petrocelli ~ The former Boston #RedSox star was born in Brooklyn on this day in 1943! #MLB #Baseball #History,2025-06-27T12:23:52.438Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsjsgp65vs2u,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,"#OTD in 1941 the requirement to install an 88 mm gun effectively put an end to the development of the VK 36.01. The design was modified to accommodate the larger and heavier weapon, eventually turning into the infamous Tiger tank. #tanks #history #WW2 #WWII",2025-06-26T18:55:02.095Z
did:plc:3jay4wawrul7axt6hwot3nfz,at://did:plc:3jay4wawrul7axt6hwot3nfz/app.bsky.feed.post/3lsfs3qr22k2r,Robert Glennie,robertglennie.bsky.social,did:plc:3jay4wawrul7axt6hwot3nfz,"A Sherman II DD from 4/7 Royal Dragoon Guards, pictured by Sgt Laing, #OTD 25th June 1944, passing through Douet, as engineers work to clear debris left from the fighting.

8th Armoured Brigade were the only British users of the Sherman II DD.

IWM B5897 #4/7RDG #8Armd #SWW #History #WW2",2025-06-25T04:38:15.684Z
did:plc:zagutraafprhv25onsfajxll,at://did:plc:zagutraafprhv25onsfajxll/app.bsky.feed.post/3lsjio3maca2o,Anime Herald,animeherald.com,did:plc:zagutraafprhv25onsfajxll,"VHS Trading and Fansubs in the Modern Era: Borealis Capps examines the history of VHS fansubs, from their early days as a lifeline for anime fans to their decline with the advent of digisubbing, only to find a dedicated niche in the modern world.

#anime #fansubs #history",2025-06-26T16:00:12.248Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidt3jzgk2o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1942. ""Rooftop warfare training"". #WW2 #HISTORY",2025-06-26T05:00:51.864Z
did:plc:c2a6xuizt7ln6yafddej2e4b,at://did:plc:c2a6xuizt7ln6yafddej2e4b/app.bsky.feed.post/3lsfjnvlru22c,Sarah M.,sarahofswords.bsky.social,did:plc:c2a6xuizt7ln6yafddej2e4b,"The ""red book"" Order of Battle of the German Army (March 1945) is available for download in the Ike Skelton Combined Arms Digital Library.

cgsc.contentdm.oclc.org/digital/coll...

#history #ww2 #wargaming #boltaction",2025-06-25T02:07:21.077Z
did:plc:h4u5biv7ck5ccmmuoacoci5m,at://did:plc:h4u5biv7ck5ccmmuoacoci5m/app.bsky.feed.post/3lsimgnrjis2x,Gareth Worthington,garethmanc.bsky.social,did:plc:h4u5biv7ck5ccmmuoacoci5m,Throwback to a few weeks ago before the Hotspur Press in Manchester sadly burnt down #Urbangaze #Manchester #Architecture #StreetPhitography #Mill #HotspurPress #EastCoastKin #History,2025-06-26T07:34:58.446Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaiwv2c2s2p,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"In memory of Boruch Alan Bermowitz aka Alan Vega, American vocalist, founder and singer of the electronic protopunk duo Suicide, born on this day in 1938, Brooklyn

📸 Glen E. Friedman 

#punk #punkrock #protopunk #alanvega #suicide #history #punkrockhistory #otd",2025-06-23T02:11:10.067Z
did:plc:7jso3p6tttrr26r2xh6r7uoc,at://did:plc:7jso3p6tttrr26r2xh6r7uoc/app.bsky.feed.post/3lsdohf7hqc25,Jon Hawke,archaeohawke.bsky.social,did:plc:7jso3p6tttrr26r2xh6r7uoc,"2 for the price of 1 on #TombTuesday ! 
👀🤩

Tinkinswood #Neolithic tomb is topped with one of the largest capstones in Britain. Weighing around 40 tonnes.
&
The St Lythans burial chamber is a single stone megalithic dolmen, built around 4,000 BC . 📷 My own
#Archaeology #History
#AncientBlueSky🪨",2025-06-24T08:27:51.785Z
did:plc:rmz5hiszryvybyftw5mo5a2v,at://did:plc:rmz5hiszryvybyftw5mo5a2v/app.bsky.feed.post/3lsjxawfcu22s,Duane Caldwell,duanehc65.bsky.social,did:plc:rmz5hiszryvybyftw5mo5a2v,"A shopper strolls through old Salzburg’s shops for #HumansOfBlueSky #UrbanGaze. 

#streetphotography #b&wphotography #art #travel #education #empathy #compassion #freedom #activism #democracy #history #nikon",2025-06-26T20:21:17.056Z
did:plc:q3toghk6d6tmkgt3p2krsawx,at://did:plc:q3toghk6d6tmkgt3p2krsawx/app.bsky.feed.post/3ls7q4rqegc23,Blumineck,blumineck.bsky.social,did:plc:q3toghk6d6tmkgt3p2krsawx,"Let’s talk about bills!
#fantasy #history #combat #nerd",2025-06-22T18:47:04.389Z
did:plc:eexrkxc76w3z3bxsdhonvdxn,at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsbdhpsk4s2q,Mark Evans Photography  🏴󠁧󠁢󠁷󠁬󠁳󠁿,mark-s2436.bsky.social,did:plc:eexrkxc76w3z3bxsdhonvdxn,"We visited the very beautiful Powis Castle and garden located near Welshpool in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
#Powis #history #conservation
#photography #architecture 
#castle #garden #Wales #photo
#NationalTrust #countryside",2025-06-23T10:05:52.281Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskuixmw3k2g,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"17 September 1944, Oosterbeek. Corporal Gordon Bates from 1 Airlanding Recce Squadron. #WW2 #HISTORY",2025-06-27T05:04:45.310Z
did:plc:4uuatehujsz5idk57rifvmkw,at://did:plc:4uuatehujsz5idk57rifvmkw/app.bsky.feed.post/3lsgp5p4ink2o,Liz Covart,lizcovart.bsky.social,did:plc:4uuatehujsz5idk57rifvmkw,"Nice to see Ben Franklin’s World is still among the best history podcasts. When it started there weren’t as many podcast about North American & U.S. History, now there are a lot!

BFW came in 4th overall and is the 1st podcast about Early America listed.

#Podcasts #Skystorians #History",2025-06-25T13:18:19.623Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidqohrj22o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1940. A range of defensive measures in Brighton area, Findon area, Warnham - Horsham area and Worthing. #WW2 #HISTORY",2025-06-26T04:59:31.037Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsai2hbzc22j,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Happy Birthday to Glenn Allen Anzalone aka Glenn Danzig, American singer, founder of the bands Misfits, Samhain and Danzig, born on this day in 1955, Lodi, New Jersey.

📸 Alison Braun 

#punk #punks #punkrock #horrorpunk #misfits #glenndanzig #history #punkrockhistory #otd",2025-06-23T01:55:16.118Z
did:plc:6khwbcjlzf24liywdat6avgd,at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lsjypdntws26,Louvain Rees ⚰️,hellohistoria.bsky.social,did:plc:6khwbcjlzf24liywdat6avgd,"Oldcastle School Careers Week ✨️

Last week, I had the pleasure of speaking to the students at Oldcastle Primary School about my work as a historian. 

I explained the role of a historian and how archives work, and we discussed some local history, including the school’s history 🏫

#Wales #History",2025-06-26T20:47:14.447Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidtlhj5c2o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,#OTD in 1944. Lance Corporal Lodge from 278 Field Company holding a German hollow charge anti-tank magnetic mine. #WW2 #HISTORY,2025-06-26T05:01:08.556Z
did:plc:4lpq4ji2lpefepytmgntkr47,at://did:plc:4lpq4ji2lpefepytmgntkr47/app.bsky.feed.post/3lsjj6remo22j,MK Alexander,smartreads.bsky.social,did:plc:4lpq4ji2lpefepytmgntkr47,"🕰 Murder, Mystery, History and Time Travel
2500 pages, a singular story, a million words. 
Both playful and disturbing. Truly epic.
#mystery #history #timetravel #KindleUnlimited #BookSky
The Tractus Fynn Mysteries
www.amazon.com/dp/B00EQEH1TY",2025-06-26T16:09:32.301Z
did:plc:tzh74kkpdt5anzz6yqnx3lzt,at://did:plc:tzh74kkpdt5anzz6yqnx3lzt/app.bsky.feed.post/3lscvohoz7s2h,Roman Piso,romanpiso.bsky.social,did:plc:tzh74kkpdt5anzz6yqnx3lzt,"@paulinsc.bsky.social @antitheistkitty.bsky.social 
#JewSky #History #Discover #Atheism #AtheistSky #Atheism+Humanism #Humanismfeed #AtheistHeresy #📰News #NewsSky #Catholic #Church #Religion #Activists #ActivistSky #Progressives #BlackSky #LiberalSky #Libs #LibSky #Antitheist #AntiTheist #InfoSky",2025-06-24T01:04:25.762Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidrrorxk2o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1941, Black Mountains, Wales. Mule teams from 31 Independent Infantry Brigade exercising. #WW2 #HISTORY",2025-06-26T05:00:07.977Z
did:plc:vok3j6g7yrv63grj4to7byio,at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsgnlo3fo22r,Baseball by BSmile,bsmile.bsky.social,did:plc:vok3j6g7yrv63grj4to7byio,The classic windup & delivery of Milwaukee #Braves pitcher Warren Spahn! ⚾️ #MLB #Legend #Baseball #History,2025-06-25T12:50:20.816Z
