post_uri,polarity,category,likes
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lshzl7yugc2r,0.8,positive,50
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsddugccgk2m,0.8,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsixyvyric2v,0.7,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskkttkcus2x,0.65,positive,50
at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsj4c5fv722h,0.6111111111111112,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsczjd6wqc2b,0.6,positive,50
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsfwmy7r3c2k,0.6,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsiwnwhets24,0.55,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsbdhpsk4s2q,0.55,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsg46ak5zc27,0.5,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsdy4bwops2j,0.475,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsi2mixynk2t,0.4,positive,50
at://did:plc:ydqzin7kctnatbefaxcp6f7s/app.bsky.feed.post/3lsic3gyj5s25,0.39333333333333337,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lshzwehj4k2k,0.375,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaif6vdus24,0.375,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsai2hbzc22j,0.31212121212121213,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskjwc2dhs2d,0.30714285714285716,positive,50
at://did:plc:7jso3p6tttrr26r2xh6r7uoc/app.bsky.feed.post/3lsdohf7hqc25,0.2642857142857143,positive,50
at://did:plc:eczyvsiw3e7ppq3lzlsvot23/app.bsky.feed.post/3lsdmvortn327,0.25,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsdmjemi422n,0.25,positive,50
at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsgtjxjwas2v,0.19015151515151515,positive,50
at://did:plc:bhnp7tnocw74jj43jkdidi2n/app.bsky.feed.post/3lsg5knkzu22c,0.14981060606060606,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lse6abc3uc2n,0.13333333333333333,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsjdwui2uk26,0.125,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsbijggdp22q,0.1,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsdsjeem7c2n,0.03333333333333333,positive,50
at://did:plc:ydqzin7kctnatbefaxcp6f7s/app.bsky.feed.post/3lsj7f7feoc2r,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskk3wewnk2u,0.0,neutral,50
at://did:plc:jtj4ocf2hc4hyhzt5fnsj62j/app.bsky.feed.post/3lsk5fig7522b,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfke5lixc2b,0.0,neutral,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsldlh4vws2s,0.0,neutral,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsgddhzxw22e,0.0,neutral,50
at://did:plc:pk6efsxke5dfdkwzaa6velve/app.bsky.feed.post/3lshhzfbbuc2w,0.0,neutral,50
at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lshgvsidj226,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsczrexks22m,0.0,neutral,50
at://did:plc:rngyals5xd243k44qab4bndc/app.bsky.feed.post/3lscdpsryyc2j,0.0,neutral,50
at://did:plc:gb26tvwup2qdyc3uxygqvgkk/app.bsky.feed.post/3lsbxiqld6k2o,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaiwv2c2s2p,0.0,neutral,50
at://did:plc:q3toghk6d6tmkgt3p2krsawx/app.bsky.feed.post/3ls7q4rqegc23,0.0,neutral,50
at://did:plc:tzh74kkpdt5anzz6yqnx3lzt/app.bsky.feed.post/3lscvohoz7s2h,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsi3aqxbx22t,-0.023809523809523808,negative,50
at://did:plc:cdn7duxmseiwnphgqbycslbc/app.bsky.feed.post/3lsbq2ipx2k2g,-0.03333333333333335,negative,50
at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lsk4prplas26,-0.1,negative,50
at://did:plc:fitaiaaxjbgryrywqebywz2h/app.bsky.feed.post/3lsleaphf7k26,-0.109375,negative,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lslcxa4sos2t,-0.25,negative,50
at://did:plc:us3bv6g2rnd2ynhnzbc6t7rh/app.bsky.feed.post/3lsf6hptvq22n,-0.31666666666666665,negative,50
at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsebpqbpks2q,0.5208333333333334,positive,49
at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsgsyzdkdk2o,0.46875,positive,49
at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsbo2bslpc2f,0.30833333333333335,positive,49
at://did:plc:eczyvsiw3e7ppq3lzlsvot23/app.bsky.feed.post/3lsg5enoqpt2o,0.25,positive,49
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfjhkbkn22w,0.13636363636363635,positive,49
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfjdhzipc2b,0.0,neutral,49
at://did:plc:4abopdvt5qcriqfvdoamja2x/app.bsky.feed.post/3lsglrw6mnc2w,-0.078125,negative,49
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaikofpj22n,0.0,neutral,48
at://did:plc:bhnp7tnocw74jj43jkdidi2n/app.bsky.feed.post/3lslihpfs4k2m,0.0,neutral,45
at://did:plc:n6wm64rk4t3xhhwxga7cb2cp/app.bsky.feed.post/3lsiht3rck22q,5.551115123125783e-18,positive,43
at://did:plc:pk6efsxke5dfdkwzaa6velve/app.bsky.feed.post/3lsjxyvoxnk2e,0.0,neutral,42
at://did:plc:4uuatehujsz5idk57rifvmkw/app.bsky.feed.post/3lsgp5p4ink2o,0.3666666666666667,positive,39
at://did:plc:n6wm64rk4t3xhhwxga7cb2cp/app.bsky.feed.post/3lsgl7yjd2c2q,0.1333333333333333,positive,39
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidxttfoc2o,0.0,neutral,39
at://did:plc:rmz5hiszryvybyftw5mo5a2v/app.bsky.feed.post/3lsjxawfcu22s,0.1,positive,38
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskum2hzss2g,0.0,neutral,38
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidvfequ22o,0.0,neutral,37
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskudnciys2g,0.0,neutral,37
at://did:plc:c2a6xuizt7ln6yafddej2e4b/app.bsky.feed.post/3lsfjnvlru22c,0.1,positive,36
at://did:plc:n536vu2xyg3wlrajqluh6kgx/app.bsky.feed.post/3lsiqb4s5oc2a,0.35,positive,35
at://did:plc:anb2nkio5abhidh3smtqhiom/app.bsky.feed.post/3lsiumdilwk2e,0.0,neutral,34
at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsiavyq2p22r,-0.11666666666666665,negative,34
at://did:plc:2ocpvkq5gioh4kf7p57wjxyo/app.bsky.feed.post/3lsj47zsok223,0.06717171717171717,positive,33
at://did:plc:3jay4wawrul7axt6hwot3nfz/app.bsky.feed.post/3lsfs3qr22k2r,0.025000000000000005,positive,33
at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lshlrqugxs2m,-0.023989898989899006,negative,32
at://did:plc:7jso3p6tttrr26r2xh6r7uoc/app.bsky.feed.post/3lsipvgnbtk25,-0.05,negative,32
at://did:plc:h4u5biv7ck5ccmmuoacoci5m/app.bsky.feed.post/3lsimgnrjis2x,-0.28518518518518515,negative,32
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidu7ed322o,0.0,neutral,31
at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lshkanoejs2r,0.0,neutral,31
at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lskrc2qqvs2g,-0.13285714285714287,negative,30
at://did:plc:4lpq4ji2lpefepytmgntkr47/app.bsky.feed.post/3lsk47c7oys2v,-0.2,negative,30
at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsj4qabwhk23,0.0,neutral,28
at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsk2stnwpk2r,0.0,neutral,28
at://did:plc:sibsq6a75gmxxkawhfrentoi/app.bsky.feed.post/3lsjrfb7afk2o,0.1875,positive,27
at://did:plc:wfsaigxrmhkw6sxie2y3uj52/app.bsky.feed.post/3lsk3cn26gk2p,0.0,neutral,27
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidmb2wlk2o,0.0,neutral,26
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidwjen7c2o,0.0175,positive,25
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskukhkbhs2g,0.0,neutral,25
at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsgnlo3fo22r,0.20833333333333331,positive,24
at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsi5iofbt22r,-0.03125,negative,24
at://did:plc:fitaiaaxjbgryrywqebywz2h/app.bsky.feed.post/3lslewhpf6c26,-0.3625,negative,24
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskue43jps2g,0.0,neutral,23
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskuhw2wvk2g,-0.2,negative,23
at://did:plc:fzftkz72itvlldzauh2gdxpz/app.bsky.feed.post/3lsldxof4gc2e,0.4583333333333333,positive,22
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidt3jzgk2o,0.0,neutral,22
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskuixmw3k2g,0.0,neutral,22
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidqohrj22o,0.0,neutral,22
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidtlhj5c2o,-0.05,negative,22
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidrrorxk2o,-0.08333333333333333,negative,22
at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsln26bqjc2u,0.4,positive,21
at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lsjypdntws26,0.13333333333333333,positive,21
at://did:plc:zagutraafprhv25onsfajxll/app.bsky.feed.post/3lsjio3maca2o,0.125,positive,21
at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lsjsgp65vs2u,0.033333333333333326,positive,20
at://did:plc:4lpq4ji2lpefepytmgntkr47/app.bsky.feed.post/3lsjj6remo22j,-0.2,negative,18
